dataset,dim,pred_type,loss_type,final_loss,raw_path,loss_path
swiss_roll,2,x,x,0.26576295495033264,/workspace/COMP4680-8650-Flowmatching/src/part4_results/raw/swiss_roll_D2_xpred_xloss.npz,/workspace/COMP4680-8650-Flowmatching/src/part4_results/losses/swiss_roll_D2_xpred_xloss_loss.csv
swiss_roll,2,x,v,2.447347640991211,/workspace/COMP4680-8650-Flowmatching/src/part4_results/raw/swiss_roll_D2_xpred_vloss.npz,/workspace/COMP4680-8650-Flowmatching/src/part4_results/losses/swiss_roll_D2_xpred_vloss_loss.csv
swiss_roll,2,v,x,0.26366519927978516,/workspace/COMP4680-8650-Flowmatching/src/part4_results/raw/swiss_roll_D2_vpred_xloss.npz,/workspace/COMP4680-8650-Flowmatching/src/part4_results/losses/swiss_roll_D2_vpred_xloss_loss.csv
swiss_roll,2,v,v,0.9239488840103149,/workspace/COMP4680-8650-Flowmatching/src/part4_results/raw/swiss_roll_D2_vpred_vloss.npz,/workspace/COMP4680-8650-Flowmatching/src/part4_results/losses/swiss_roll_D2_vpred_vloss_loss.csv
gaussians,2,x,x,0.2824627161026001,/workspace/COMP4680-8650-Flowmatching/src/part4_results/raw/gaussians_D2_xpred_xloss.npz,/workspace/COMP4680-8650-Flowmatching/src/part4_results/losses/gaussians_D2_xpred_xloss_loss.csv
gaussians,2,x,v,8.257989883422852,/workspace/COMP4680-8650-Flowmatching/src/part4_results/raw/gaussians_D2_xpred_vloss.npz,/workspace/COMP4680-8650-Flowmatching/src/part4_results/losses/gaussians_D2_xpred_vloss_loss.csv
gaussians,2,v,x,0.2763150930404663,/workspace/COMP4680-8650-Flowmatching/src/part4_results/raw/gaussians_D2_vpred_xloss.npz,/workspace/COMP4680-8650-Flowmatching/src/part4_results/losses/gaussians_D2_vpred_xloss_loss.csv
gaussians,2,v,v,0.9117132425308228,/workspace/COMP4680-8650-Flowmatching/src/part4_results/raw/gaussians_D2_vpred_vloss.npz,/workspace/COMP4680-8650-Flowmatching/src/part4_results/losses/gaussians_D2_vpred_vloss_loss.csv
circles,2,x,x,0.19545641541481018,/workspace/COMP4680-8650-Flowmatching/src/part4_results/raw/circles_D2_xpred_xloss.npz,/workspace/COMP4680-8650-Flowmatching/src/part4_results/losses/circles_D2_xpred_xloss_loss.csv
circles,2,x,v,1.1406244039535522,/workspace/COMP4680-8650-Flowmatching/src/part4_results/raw/circles_D2_xpred_vloss.npz,/workspace/COMP4680-8650-Flowmatching/src/part4_results/losses/circles_D2_xpred_vloss_loss.csv
circles,2,v,x,0.20425578951835632,/workspace/COMP4680-8650-Flowmatching/src/part4_results/raw/circles_D2_vpred_xloss.npz,/workspace/COMP4680-8650-Flowmatching/src/part4_results/losses/circles_D2_vpred_xloss_loss.csv
circles,2,v,v,0.8021954894065857,/workspace/COMP4680-8650-Flowmatching/src/part4_results/raw/circles_D2_vpred_vloss.npz,/workspace/COMP4680-8650-Flowmatching/src/part4_results/losses/circles_D2_vpred_vloss_loss.csv
swiss_roll,8,x,x,0.06653168797492981,/workspace/COMP4680-8650-Flowmatching/src/part4_results/raw/swiss_roll_D8_xpred_xloss.npz,/workspace/COMP4680-8650-Flowmatching/src/part4_results/losses/swiss_roll_D8_xpred_xloss_loss.csv
swiss_roll,8,x,v,0.3480864465236664,/workspace/COMP4680-8650-Flowmatching/src/part4_results/raw/swiss_roll_D8_xpred_vloss.npz,/workspace/COMP4680-8650-Flowmatching/src/part4_results/losses/swiss_roll_D8_xpred_vloss_loss.csv
swiss_roll,8,v,x,0.06910154223442078,/workspace/COMP4680-8650-Flowmatching/src/part4_results/raw/swiss_roll_D8_vpred_xloss.npz,/workspace/COMP4680-8650-Flowmatching/src/part4_results/losses/swiss_roll_D8_vpred_xloss_loss.csv
swiss_roll,8,v,v,0.24204015731811523,/workspace/COMP4680-8650-Flowmatching/src/part4_results/raw/swiss_roll_D8_vpred_vloss.npz,/workspace/COMP4680-8650-Flowmatching/src/part4_results/losses/swiss_roll_D8_vpred_vloss_loss.csv
gaussians,8,x,x,0.0687045231461525,/workspace/COMP4680-8650-Flowmatching/src/part4_results/raw/gaussians_D8_xpred_xloss.npz,/workspace/COMP4680-8650-Flowmatching/src/part4_results/losses/gaussians_D8_xpred_xloss_loss.csv
gaussians,8,x,v,1.3536853790283203,/workspace/COMP4680-8650-Flowmatching/src/part4_results/raw/gaussians_D8_xpred_vloss.npz,/workspace/COMP4680-8650-Flowmatching/src/part4_results/losses/gaussians_D8_xpred_vloss_loss.csv
gaussians,8,v,x,0.06870488822460175,/workspace/COMP4680-8650-Flowmatching/src/part4_results/raw/gaussians_D8_vpred_xloss.npz,/workspace/COMP4680-8650-Flowmatching/src/part4_results/losses/gaussians_D8_vpred_xloss_loss.csv
gaussians,8,v,v,0.23927798867225647,/workspace/COMP4680-8650-Flowmatching/src/part4_results/raw/gaussians_D8_vpred_vloss.npz,/workspace/COMP4680-8650-Flowmatching/src/part4_results/losses/gaussians_D8_vpred_vloss_loss.csv
circles,8,x,x,0.05026494711637497,/workspace/COMP4680-8650-Flowmatching/src/part4_results/raw/circles_D8_xpred_xloss.npz,/workspace/COMP4680-8650-Flowmatching/src/part4_results/losses/circles_D8_xpred_xloss_loss.csv
