step,recon_loss
1,0.0563507080078125
500,3.9906608435558155e-06
1000,1.5462212559214095e-06
1500,8.418900847573241e-07
2000,5.406094487625523e-07
2500,3.629428135809576e-07
3000,3.1829105751057796e-07
3500,6.494046829175204e-07
4000,1.3831354408466723e-06
4500,1.77032219994544e-07
5000,1.564163909506533e-07
5500,4.700289537140634e-06
6000,1.603551851303564e-07
6500,4.4357801698424737e-07
7000,2.731977247094619e-06
7500,6.618242878175806e-07
8000,1.2813302419090178e-07
8500,4.052336862514494e-06
9000,1.5984703622962115e-06
9500,1.113820599130122e-05
10000,2.1083384638131974e-07
10500,5.262178547127405e-06
11000,4.263581558916485e-07
11500,9.03714180822135e-07
12000,4.20037849835353e-06
12500,1.4087527233641595e-05
13000,1.4699651273986092e-07
13500,2.0246754672825773e-07
14000,2.157329163310351e-06
14500,3.0425201202888275e-06
15000,1.861085138443741e-06
15500,6.298086645983858e-06
16000,4.5897145639628434e-08
16500,1.8112794464286708e-07
17000,1.409728952239675e-06
17500,4.015404897472763e-07
18000,3.205342409273726e-07
18500,2.587032099654607e-07
19000,4.796950747731898e-07
19500,8.554142283401234e-08
20000,3.4876251220339327e-07
