step,fm_loss
1,1.9808248281478882
500,1.434431552886963
1000,1.4443142414093018
1500,1.4663071632385254
2000,1.400439739227295
2500,1.4872932434082031
3000,1.3992782831192017
3500,1.439741611480713
4000,1.4262137413024902
4500,1.371962547302246
5000,1.3844883441925049
5500,1.3869733810424805
6000,1.3069539070129395
6500,1.3738690614700317
7000,1.428271770477295
7500,1.3616098165512085
8000,1.4315893650054932
8500,1.5313845872879028
9000,1.4393260478973389
9500,1.3714842796325684
10000,1.422234058380127
10500,1.309983491897583
11000,1.3931446075439453
11500,1.3699445724487305
12000,1.419060230255127
12500,1.3345880508422852
13000,1.2382781505584717
13500,1.3785407543182373
14000,1.4127253293991089
14500,1.337648868560791
15000,1.4632607698440552
15500,1.3485653400421143
16000,1.3962938785552979
16500,1.404869794845581
17000,1.4032825231552124
17500,1.3451058864593506
18000,1.3665692806243896
18500,1.4310548305511475
19000,1.433201789855957
19500,1.4199161529541016
20000,1.4489904642105103
20500,1.3791395425796509
21000,1.399857997894287
21500,1.3767108917236328
22000,1.4169560670852661
22500,1.3617634773254395
23000,1.3842360973358154
23500,1.3769205808639526
24000,1.3291183710098267
24500,1.3233290910720825
25000,1.3884581327438354
